title,authors,description,average_rating,published_date,categories
The Dressmakers of Auschwitz,Lucy Adlington,"*** The New York Times Bestseller *** 'Lucy Adlington tells of the horrors of the Nazi occupation and the concentration camps from a fascinating and original angle. She introduces us to a little known aspect of the period, highlighting the role of clothes in the grimmest of societies imaginable and giving an insight into the women who stayed alive by stitching' - Alexandra Shulman, author of Clothes...and other things that matter 'Compelling... Adlington tells the stories of the women with clarity and steely precision' - Jewish Chronicle 'An utterly absorbing, important and unique historical read' - Judy Batalion, NY Times bestselling author of The Light of Our Days: The Untold Story of Women Resistance Fighters in Hitler's Ghettos 'Powerful... a fascinating account.' - Woman The powerful chronicle of the women who used their sewing skills to survive the Holocaust, stitching beautiful clothes at an extraordinary fashion workshop created within one of the most notorious WWII death camps. At the height of the Holocaust twenty-five young inmates of the infamous Auschwitz-Birkenau concentration camp - mainly Jewish women and girls - were selected to design, cut, and sew beautiful fashions for elite Nazi women in a dedicated salon. It was work that they hoped would spare them from the gas chambers. This fashion workshop - called the Upper Tailoring Studio - was established by Hedwig Höss, the camp commandant's wife, and patronized by the wives of SS guards and officers. Here, the dressmakers produced high-quality garments for SS social functions in Auschwitz, and for ladies from Nazi Berlin's upper crust. Drawing on diverse sources - including interviews with the last surviving seamstress - The Dressmakers of Auschwitz follows the fates of these brave women. Their bonds of family and friendship not only helped them endure persecution, but also to play their part in camp resistance. Weaving the dressmakers' remarkable experiences within the context of Nazi policies for plunder and exploitation, historian Lucy Adlington exposes the greed, cruelty, and hypocrisy of the Third Reich and offers a fresh look at a little-known chapter of World War II and the Holocaust.",Note non disponible,2021-09-02,History
Is This Anything?,Jerry Seinfeld,"Collecting material from half a century in comedy, a chronologically arranged selection of favorite skits and memories by the iconic funnyman includes selections from his original ""Catch a Rising Star"" performance.",Note non disponible,2021-11-09,Biography & Autobiography
Atlas of the Heart,Brené Brown,"#1 NEW YORK TIMES BESTSELLER • In her latest book, Brené Brown writes, “If we want to find the way back to ourselves and one another, we need language and the grounded confidence to both tell our stories and be stewards of the stories that we hear. This is the framework for meaningful connection.” Don’t miss the five-part HBO Max docuseries Brené Brown: Atlas of the Heart! In Atlas of the Heart, Brown takes us on a journey through eighty-seven of the emotions and experiences that define what it means to be human. As she maps the necessary skills and an actionable framework for meaningful connection, she gives us the language and tools to access a universe of new choices and second chances—a universe where we can share and steward the stories of our bravest and most heartbreaking moments with one another in a way that builds connection. Over the past two decades, Brown’s extensive research into the experiences that make us who we are has shaped the cultural conversation and helped define what it means to be courageous with our lives. Atlas of the Heart draws on this research, as well as on Brown’s singular skills as a storyteller, to show us how accurately naming an experience doesn’t give the experience more power—it gives us the power of understanding, meaning, and choice. Brown shares, “I want this book to be an atlas for all of us, because I believe that, with an adventurous heart and the right maps, we can travel anywhere and never fear losing ourselves.”",Note non disponible,2021-11-30,Psychology
The Pioneer Woman Cooks—Super Easy!,Ree Drummond,"#1 New York Times bestseller Bring the family together—and take it easy on yourself! Between my family, my website, my cookbooks, and my TV show, I make a lot of food around here! And as much as I’ve always loved cooking (and of course, eating!), it seems that more and more these days, I’m looking for ways to simplify my life in the kitchen. I find myself gravitating toward recipes that are delicious but don’t require a lot of prep or fuss, because they free me up to have more time (and energy) for other areas of my life. This also makes cooking less of a chore and more of a pleasure—exactly what cooking should be! The Pioneer Woman Cooks—Super Easy! will free you up and transform your cooking life as well, with 120 recipes that range from effortless breakfasts to breezy skillet meals to speedy soups to ready-in-minutes Tex-Mex delights, so you’ll have lots of options for any given meal. Many recipes in this cookbook call for step-saving (and sanity-saving) shortcuts that will revolutionize the time you spend making meals for your family, and all of them are utterly scrumptious! I’ve absolutely fallen in love with this new generation of recipes, including Butter Pecan French Toast, Buffalo Chicken Totchos, Speedy Dumpling Soup, Broccoli-Cheese Stromboli (so great for kids!), and an entire section of pastas and grains, such as One-Pot Sausage Pasta and colorful and fresh Hawaiian Shrimp Bowls. You’ll find yummy meals such as Pepperoni Fried Rice, Chicken-Fried Steak Fingers, and ultra-tasty Chicken Curry in a Hurry . . . as well as assemble-in-the-baking-dish casseroles, throw-together sheet pan suppers, and simply decadent desserts such as Mug Cakes, Coconut Cream Pie, and Brownie S’Mores Bars that you’ll dream about. There’s something for everyone in this cookbook, and not a single recipe, ingredient, or step is complicated or difficult. Now that’s the kind of cooking we can all get behind!",Note non disponible,2021-10-19,Cooking
Skinnytaste Air Fryer Dinners,Gina Homolka,"75 recipes dedicated to making air fryer dinners easier and healthier, from the #1 New York Times bestselling author of The Skinnytaste Air Fryer Cookbook Gina Homolka returns with a must-have collection of deceptively healthy dinners for the beloved air fryer appliance. Air fryers allow you to cook meals with less oil and little clean-up by using hot, well-circulated air to evenly cook and crisp up foods in record time. In Skinnytaste Air Fryer Dinners, Gina delivers 75 air fryer meals that are the perfect quick solution to weeknight meals, hearty dinners that are satisfying served as is or with just a simple salad or side. True to Gina's signature “light on calories, big on flavor” promise, the recipes allow you to indulge in creative and crave-worthy dishes, including crispy fried fish with hush puppies, juicy chicken breasts stuffed with brie cheese, California-style burritos made with steak and fried potatoes, and a perfectly cooked salmon topped with mustard and dill. All recipes include helpful icons for different diets (such as keto, gluten-free, and vegetarian) and nutritional information, with the most up-to-date Weight Watchers points available on the Skinnytaste website. The recipes in Skinnytaste Air Fryer Dinners are sure to satisfy the whole family and show you just how versatile the air fryer is!",Note non disponible,2021-12-14,Cooking
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Joshua Weissman,"A Weissman once said... ""...can we please stop with the barrage of 2.3 second meals that only need 1 ingredient? I get it...we're busy. But let's refocus on the fact that beautifully crafted burgers don't grow on trees."" Ironically this sounds a lot like he's trying to convince you to cook, but he's really not. Is this selling the cookbook? The point is that the food in this book is an invitation that speaks for itself. Great cooking does, and should, take time. Now is the time to double down and get your head in the cooking game. Or you know, don't. Maybe get someone else to cook this stuff for you...that works too. How can you know if something is your favorite if 50 to 80 percent of the stuff you've been eating was made by someone else? Butter, condiments, cheese, pickles, bread, patties, and buns. For the superlative gastronomic experience, you can (and should, to be honest) make these from scratch. Create the building blocks necessary to make the greatest meal of your life. While you're at it, why not give it the Joshua Weissman twist? Afterall, it's hard to buy lacto-fermtented white asparagus with black garlic at the local grocery store. From simple staples to sophisticated curiosities and from gourmet to deep-fried, you are the master of your own kitchen, and you'll make it all, on your terms. With no regrets, excuses, or apologies, Joshua Weissman will instruct you how with his irreverent humor, a little bit of light razzing, and over 100 perfectly delectable recipes. If you love to host and entertain; if you like a good project; if you crave control of your food; if fast food or the frozen aisle or the super-fast-super-easy cookbook keeps letting your tastebuds down; then Joshua Weissman: An Unapologetic Cookbook is your ideal kitchen companion.",Note non disponible,2021-09-14,Cooking
Principles for Dealing with the Changing World Order,Ray Dalio,"NEW YORK TIMES BESTSELLER * MORE THAN ONE MILLION COPIES SOLD “A provocative read...There are few tomes that coherently map such broad economic histories as well as Mr. Dalio’s. Perhaps more unusually, Mr. Dalio has managed to identify metrics from that history that can be applied to understand today.” —Andrew Ross Sorkin, The New York Times From legendary investor Ray Dalio, author of the #1 New York Times bestseller Principles, who has spent half a century studying global economies and markets, Principles for Dealing with the Changing World Order examines history’s most turbulent economic and political periods to reveal why the times ahead will likely be radically different from those we’ve experienced in our lifetimes—and to offer practical advice on how to navigate them well. A few years ago, Ray Dalio noticed a confluence of political and economic conditions he hadn’t encountered before. They included huge debts and zero or near-zero interest rates that led to massive printing of money in the world’s three major reserve currencies; big political and social conflicts within countries, especially the US, due to the largest wealth, political, and values disparities in more than 100 years; and the rising of a world power (China) to challenge the existing world power (US) and the existing world order. The last time that this confluence occurred was between 1930 and 1945. This realization sent Dalio on a search for the repeating patterns and cause/effect relationships underlying all major changes in wealth and power over the last 500 years. In this remarkable and timely addition to his Principles series, Dalio brings readers along for his study of the major empires—including the Dutch, the British, and the American—putting into perspective the “Big Cycle” that has driven the successes and failures of all the world’s major countries throughout history. He reveals the timeless and universal forces behind these shifts and uses them to look into the future, offering practical principles for positioning oneself for what’s ahead.",Note non disponible,2021-11-30,Business & Economics
The Christmas Pig,J. K. Rowling,"A heartwarming, page-turning adventure about one child's love for his most treasured thing, and how far he will go to find it. A tale for the whole family to fall in love with, from one of the world’s greatest storytellers. One boy and his toy are about to change everything... Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jack’s newest toy -- the Christmas Pig (DP’s replacement) – has a daring plan: Together they’ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known...",4.5,2021-10-12,Juvenile Fiction
Daughter of the Deep,Rick Riordan,"From the creator of PERCY JACKSON, bestselling author Rick Riordan, comes a brand-new adventure, inspired by Jules Verne's Twenty Thousand Leagues Under the Sea. Ana Dakkar is a freshman at Harding-Pencroft Academy, a five-year high school that graduates the best marine scientists, naval warriors, navigators, and underwater explorers in the world. Ana's parents died while on a scientific expedition two years ago, and the only family's she's got left is her older brother, Dev, also a student at HP. Ana's freshman year culminates with the class's weekend trial at sea, the details of which have been kept secret. She only hopes she has what it'll take to succeed. All her worries are blown out of the water when, on the bus ride to the ship, Ana and her schoolmates witness a terrible tragedy that will change the trajectory of their lives. But wait, there's more. The professor accompanying them informs Ana that their rival school, Land Institute, and Harding-Pencroft have been fighting a cold war for a hundred and fifty years. But now the heat is on and the freshman are in danger of becoming fish food. In a race against deadly enemies, Ana will make amazing friends and astounding discoveries about her heritage as she puts her leadership skills to the test for the first time. Rick Riordan's trademark humour, fast-paced action, and wide cast of characters are on full display in this undersea adventure. Rick Riordan has now sold an incredible 180 million copies of his books worldwide. 'This is the stuff of legends' - The Guardian on Percy Jackson",5,2021-10-05,Juvenile Fiction
Pony,R. J. Palacio,"INSTANT NEW YORK TIMES BESTSELLER • NAMED ONE OF THE BEST CHILDREN’S BOOKS OF THE YEAR BY THE WALL STREET JOURNAL “Perfection.” –The Wall Street Journal The bestselling author of Wonder returns with an enthralling adventure about a boy on a quest to rescue his father, with only a ghost as his companion and a mysterious pony as his guide. Twelve-year-old Silas is awoken in the dead of night by three menacing horsemen who take his father away. Silas is left shaken, scared, and alone, except for the presence of his companion, Mittenwool . . . who happens to be a ghost. When a pony shows up at his door, Silas makes the courageous decision to leave his home and embark on a perilous journey to find his father. Along the way, he will face his fears to unlock the secrets of his past and explore the unfathomable mysteries of the world around him. R. J. Palacio spins a harrowing yet distinctly beautiful coming-of-age story about the power of love and the ties that bind us across distance and time. With the poignant depth of War Horse and the singular voice of True Grit, this is one of those rare books poised to become an instant classic for readers of all ages. “A wonderful story of courage. ... It's got the feeling of a modern classic.” —as recommended on NPR by Jorge Lacera",Note non disponible,2021-09-28,Juvenile Fiction
"Stuntboy, in the Meantime",Jason Reynolds,"A Schneider Family Award Honor Book for Middle Grade From Newbery Medal honoree and #1 New York Times bestselling author Jason Reynolds comes a hilarious, hopeful, and action-packed middle grade novel about the greatest young superhero you’ve never heard of, filled with illustrations by Raúl the Third! Portico Reeves’s superpower is making sure all the other superheroes—like his parents and two best friends—stay super. And safe. Super safe. And he does this all in secret. No one in his civilian life knows he’s actually…Stuntboy! But his regular Portico identity is pretty cool, too. He lives in the biggest house on the block, maybe in the whole city, which basically makes it a castle. His mom calls where they live an apartment building. But a building with fifty doors just in the hallways is definitely a castle. And behind those fifty doors live a bunch of different people who Stuntboy saves all the time. In fact, he’s the only reason the cat, New Name Every Day, has nine lives. All this is swell except for Portico’s other secret, his not-so-super secret. His parents are fighting all the time. They’re trying to hide it by repeatedly telling Portico to go check on a neighbor “in the meantime.” But Portico knows “meantime” means his parents are heading into the Mean Time which means they’re about to get into it, and well, Portico’s superhero responsibility is to save them, too—as soon as he figures out how. Only, all these secrets give Portico the worry wiggles, the frets, which his mom calls anxiety. Plus, like all superheroes, Portico has an arch-nemesis who is determined to prove that there is nothing super about Portico at all.",Note non disponible,2021-11-30,Juvenile Fiction
"Pax, Journey Home",Sara Pennypacker,"From bestselling and award-winning author Sara Pennypacker comes the long-awaited sequel to Pax; gorgeously crafted, utterly compelling with stunning illustrations by award-winning author and illustrator Jon Klassen.",Note non disponible,2021-09-14,Juvenile Fiction
"Dude Perfect 101 Tricks, Tips, and Cool Stuff","Dude Perfect,","You may know Dude Perfect from their mind-blowing, world record-breaking, viral trick shot videos and hilarious Overtime videos! NOW, with the guys’ new, massive, photo-intensive book Dude Perfect 101 Tricks, Tips, and Cool Stuff, you’ll experience a behind-the-scenes look at their stunts and their personal lives, PLUS step-by-step instructions so you can attempt their tricks at home! At Dude Perfect, we do everything we can to bring families closer together, and that’s why we’re excited to share this book with you. Follow our step-by-step instructions to have your own Dude Perfect–style fun! Tweens and teens, ages 8 to 12, will enjoy complete panda-monium with this in-depth look at Dude Perfect: five guys who are kickin' it, throwin' it, tossin' it, and shootin' it for more than 55 million YouTube subscribers and more than twelve billion views. With an oversize format and fun, informative graphics, Dude Perfect 101 Tricks, Tips, and Cool Stuff includes . . . Step-by-step instructions to perform your own real life trick shots using everyday objects. A behind-the-scenes view of those hilarious Overtime videos and extreme sports moments. Dude Perfect teaching about what a blast patience, perseverance, teamwork, friendship, and faith can be. Fun science facts behind the seemingly impossible tricks—because really, how did they do that?! Infographics with ""No way!"" truths from the inspirational to the absurd. A deeper look into each Dude's personal life, including stats, favorite stunts, and insights. Each trick in Dude Perfect 101 Tricks, Tips, and Cool Stuff is the perfect combination of challenging and doable to keep your young reader off-screen for hours. This interactive book is a great gift for birthdays, Easter baskets, holiday gift giving, or just because. Whether your own trickster wants to perform solo, challenge a friend, or host a family date night, this visually engaging book is a slam dunk for anyone who is young at heart.",Note non disponible,2021-06-22,Juvenile Nonfiction
Change Sings,Amanda Gorman,"A lyrical picture book debut from #1 New York Times bestselling author and presidential inaugural poet Amanda Gorman and #1 New York Times bestselling illustrator Loren Long ""I can hear change humming In its loudest, proudest song. I don't fear change coming, And so I sing along."" In this stirring, much-anticipated picture book by presidential inaugural poet and activist Amanda Gorman, anything is possible when our voices join together. As a young girl leads a cast of characters on a musical journey, they learn that they have the power to make changes—big or small—in the world, in their communities, and in most importantly, in themselves. With lyrical text and rhythmic illustrations that build to a dazzling crescendo by #1 New York Times bestselling illustrator Loren Long, Change Sings is a triumphant call to action for everyone to use their abilities to make a difference.",5,2021-09-21,Juvenile Fiction
A Good Girl's Guide to Murder,Holly Jackson,"THE MUST-READ MULTIMILLION BESTSELLING MYSTERY SERIES—NOW ON NETFLIX! • This is the story about an investigation turned obsession, full of twists and turns and with an ending you'll never expect. Everyone in Fairview knows the story. Pretty and popular high school senior Andie Bell was murdered by her boyfriend, Sal Singh, who then killed himself. It was all anyone could talk about. And five years later, Pip sees how the tragedy still haunts her town. But she can't shake the feeling that there was more to what happened that day. She knew Sal when she was a child, and he was always so kind to her. How could he possibly have been a killer? Now a senior herself, Pip decides to reexamine the closed case for her final project, at first just to cast doubt on the original investigation. But soon she discovers a trail of dark secrets that might actually prove Sal innocent . . . and the line between past and present begins to blur. Someone in Fairview doesn't want Pip digging around for answers, and now her own life might be in danger. And don't miss the sequel, Good Girl, Bad Blood! ""The perfect nail-biting mystery."" —Natasha Preston, #1 New York Times bestselling author",5,2021-01-05,Young Adult Fiction
Firekeeper's Daughter,Angeline Boulley,"A PRINTZ MEDAL WINNER! A MORRIS AWARD WINNER! AN AMERICAN INDIAN YOUTH LITERATURE AWARD YA HONOR BOOK! A REESE WITHERSPOON x HELLO SUNSHINE BOOK CLUB YA PICK An Instant #1 New York Times Bestseller Soon to be adapted at Netflix for TV with President Barack Obama and Michelle Obama's production company, Higher Ground. “One of this year's most buzzed about young adult novels.” —Good Morning America A TIME Magazine Best YA Book of All Time Selection Amazon's Best YA Book of 2021 So Far (June 2021) A 2021 Kids' Indie Next List Selection An Entertainment Weekly Most Anticipated Books of 2021 Selection A PopSugar Best March 2021 YA Book Selection With four starred reviews, Angeline Boulley's debut novel, Firekeeper's Daughter, is a groundbreaking YA thriller about a Native teen who must root out the corruption in her community, perfect for readers of Angie Thomas and Tommy Orange. Eighteen-year-old Daunis Fontaine has never quite fit in, both in her hometown and on the nearby Ojibwe reservation. She dreams of a fresh start at college, but when family tragedy strikes, Daunis puts her future on hold to look after her fragile mother. The only bright spot is meeting Jamie, the charming new recruit on her brother Levi’s hockey team. Yet even as Daunis falls for Jamie, she senses the dashing hockey star is hiding something. Everything comes to light when Daunis witnesses a shocking murder, thrusting her into an FBI investigation of a lethal new drug. Reluctantly, Daunis agrees to go undercover, drawing on her knowledge of chemistry and Ojibwe traditional medicine to track down the source. But the search for truth is more complicated than Daunis imagined, exposing secrets and old scars. At the same time, she grows concerned with an investigation that seems more focused on punishing the offenders than protecting the victims. Now, as the deceptions—and deaths—keep growing, Daunis must learn what it means to be a strong Anishinaabe kwe (Ojibwe woman) and how far she’ll go for her community, even if it tears apart the only world she’s ever known.",Note non disponible,2021-03-16,Young Adult Fiction
You'll Be the Death of Me,Karen M. McManus,"INSTANT #1 NEW YORK TIMES BESTSELLER • From the author of One of Us Is Lying comes a brand-new pulse-pounding thriller. It's Ferris Bueller's Day Off with murder when three old friends relive an epic ditch day, and it goes horribly—and fatally—wrong. Ivy, Mateo, and Cal used to be close. Now all they have in common is Carlton High and the beginning of a very bad day. Type A Ivy lost a student council election to the class clown, and now she has to face the school, humiliated. Heartthrob Mateo is burned out from working two jobs since his family’s business failed. And outsider Cal just got stood up . . . again. So when the three unexpectedly run into each other, they decide to avoid their problems by ditching. Just the three of them, like old times. Except they’ve barely left the parking lot before they run out of things to say. . . . . . until they spot another Carlton High student skipping school—and follow him to the scene of his own murder. In one chance move, their day turns from dull to deadly. And it’s about to get worse. It turns out Ivy, Mateo, and Cal still have some things in common...like a connection to the dead kid. And they’re all hiding something. Could it be that their chance reconnection wasn’t by chance after all? Fans of the hit thriller that started it all can watch the secrets of the Bayview Four be revealed in the One of Us is Lying TV series now streaming on NBC's Peacock!",Note non disponible,2021-11-30,Young Adult Fiction
Lore,Alexandra Bracken,"From the No.1 New York Times bestselling author of The Darkest Minds comes a high-octane story of power, destiny and redemption. A lifetime ago, Lore Perseous left behind the brutal, opulent world of the Agon families - ancient Greek bloodlines that participate in a merciless game every seven years. A game that is about to begin again ... For centuries, Zeus has punished the gods with a game called the Agon, which turns them mortal for one week, and at the mercy of being hunted by those with godly ambitions. Only a handful of the original Greek gods remain, the rest replaced by the mortals who killed them and ascended. After her family's sadistic murder by a rival bloodline, Lore escapes and vows to repay her parents' sacrifice by doing one thing - surviving. For seven years, she has pushed back dark thoughts of revenge against the man responsible for their murder, a man by the name of Wrath who has attained unimaginable power. Except for one week, every seven years. A week that is fast approaching ... When Lore comes home on the first night of the Agon to find Athena gravely wounded on her doorstep, the goddess offers her an alliance; they have a mutual enemy, after all. But as the world trembles under the force of Wrath - a god with the power to destroy all of humanity - will Lore's decision to bind her fate with Athena's come back to haunt her?",5,2021-01-07,Young Adult Fiction
The Hawthorne Legacy,Jennifer Lynn Barnes,"2 MILLION COPIES SOLD OF THE #1 BESTSELLING SERIES! 'A MASTER OF PUZZLES AND PLOT TWISTS' E. Lockhart, author of We Were Liars Intrigue, riches, and romance abound in the second thrilling instalment in the global bestselling Inheritance Games series. Perfect for fans of Karen McManus and Holly Jackson. A DEADLY GAME. A PUZZLE TO SOLVE. A FORTUNE AT STAKE. ONE STEP FORWARDS. Avery thought that solving the riddle left by billionaire Tobias Hawthorne would reveal why he left her - a complete stranger - his entire fortune. TWO STEPS BACK. But as the cryptic clues pile up and Jameson and Grayson, two of the handsome and enigmatic Hawthorne grandsons, continue to pull her in different directions, Avery wonders who she can really trust. SECRETS UPON SECRETS. Soon Avery realizes this game is no longer just about money and power. Now she's playing for her life **Avery's story continues in The Final Gambit and The Brothers Hawthorne**",5,2021-09-09,Young Adult Fiction
Go Tell the Bees That I Am Gone,Diana Gabaldon,"#1 NEW YORK TIMES BESTSELLER • Diana Gabaldon returns with the “vast and sweeping” (The Washington Post) new novel in the epic Outlander series. War leaves nobody alone. Neither the past, the present, nor the future offers true safety, and the only refuge is what you can protect: your family, your friends, your home. Jamie Fraser and Claire Randall were torn apart by the Jacobite Rising in 1746, and it took them twenty years of loss and heartbreak to find each other again. Now it’s 1779, and Claire and Jamie are finally reunited with their daughter, Brianna, her husband, Roger, and their children, and are rebuilding their home on Fraser’s Ridge—a fortress that may shelter them against the winds of war as well as weather. But tensions in the Colonies are great: Battles rage from New York to Georgia and, even in the mountains of the backcountry, feelings run hot enough to boil Hell’s teakettle. Jamie knows that loyalties among his tenants are split and it won’t be long before the war is on his doorstep. Brianna and Roger have their own worry: that the dangers that provoked their escape from the twentieth century might catch up to them. Sometimes they question whether risking the perils of the 1700s—among them disease, starvation, and an impending war—was indeed the safer choice for their family. Not so far away, young William Ransom is coming to terms with the mysteries of his identity, his future, and the family he’s never known. His erstwhile father, Lord John Grey, has reconciliations to make and dangers to meet on his son’s behalf and on his own, and far to the north, Young Ian Murray fights his own battle between past and future, and the two women he’s loved. Meanwhile, the Revolutionary War creeps ever closer to Fraser’s Ridge. Jamie sharpens his sword, while Claire whets her surgeon’s blade: It is a time for steel.",Note non disponible,2021-11-23,Fiction
Dune - Livre 1,Frank Herbert,"Dune, le chef-d'œuvre épique de science-fiction de Frank Herbert se déroulant dans un avenir lointain au milieu d'une société interstellaire féodale tentaculaire, raconte l'histoire de Paul Atréides alors que lui et sa famille acceptent le contrôle de la planète désertique Arrakis... Un mélange étonnant d'aventure et de mysticisme, d'environnementalisme, et de politique, Dune est une histoire puissante et fantastique qui jette un regard sans précédent sur notre univers et est ici transfigurée par son adaptation en roman graphique. Brian Herbert et Kevin J. Anderson ont conservé l'intégrité du roman original, et Raúl Allén et Patricia Martín ont réalisé de splendides illustrations. Le tout est magnifié par les couvertures de Bill Sienkiewicz. Découvrez ou redécouvrez cette saga incontournable !",Note non disponible,2021-01-15T00:00:00+01:00,Comics & Graphic Novels
The Judge's List,John Grisham,"***THE SUNDAY TIMES THRILLER OF THE MONTH*** 'Besides the usual Grisham virtues of an arresting idea, polished plotting and vivid social snapshots, what's impressive here is his willingness to take on fresh challenges' THE SUNDAY TIMES Nonstop suspense from the Sunday Times bestselling author: Investigator Lacy Stoltz follows the trail of a serial killer, and closes in on a shocking suspect - a sitting judge. In The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change. Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosby's father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims. Suspicions are easy enough, but proof seems impossible. The man is brilliant, patient, and always one step ahead of law enforcement. He is the most cunning of all serial killers. He knows forensics, police procedure, and most important: he knows the law. He is a judge, in Florida - under Lacy's jurisdiction. He has a list, with the names of his victims and targets, all unsuspecting people unlucky enough to have crossed his path and wronged him in some way. How can Lacy pursue him, without becoming the next name on his list? The Judge's List is by any measure John Grisham's most surprising, chilling novel yet. 'The shocks come thick and fast in this slick thriller that is impossible to put down' THE SUN 'An excellent nail-bitingly tense thriller' IRISH INDEPENDENT 350+ million copies, 45 languages, 9 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM",Note non disponible,2021-10-26,Fiction
The Dark Hours,Michael Connelly,"A CRIME BURIED FOR YEARS. AND ONE THAT'S JUST BEGUN... 'An authentic, topical and terrifying thriller: one of Michael Connelly's very best' THE TIMES 'Yet another superb thriller from a writer at the top of his game' SUNDAY EXPRESS 'Consistently excellent' MAIL ON SUNDAY * * * * * A MURDER YEARS IN THE MAKING A murder in the middle of a street party seems a senseless tragedy. But the victim had a dark past which came back to haunt him. THE DEEPER YOU LOOK Detective Renée Ballard connects the killing to an unsolved case last worked by ex-LAPD legend Harry Bosch. But then a new crime shatters the night shift... THE DARKER IT GETS The Midnight Men are a deadly pair of predators who stalk the city during the dark hours and disappear without a trace. Ballard once believed her job was to bring the truth to light. In a police department shaken to the core by protests and pandemic, both cases have the power to save her - or end her... * * * * * CRIME DOESN'T COME BETTER THAN CONNELLY: 'One of the very best writers working today' Sunday Telegraph 'The pre-eminent detective novelist of his generation' Ian Rankin 'The best mystery writer in the world' GQ 'A superb natural storyteller' Lee Child 'A master' Stephen King 'Crime thriller writing of the highest order' Guardian 'America's greatest living crime writer' Daily Express 'A crime writing genius' Independent on Sunday",Note non disponible,2021-11-09,Fiction
UNTITLED LIANE MORIARTY 2021,LIANE. MORIARTY,Description non disponible,Note non disponible,2021,Catégorie non disponible
Mercy,David Baldacci,"Special Agent Atlee Pine’s quest to find her missing sister reaches an explosive climax in Mercy, the gripping follow up to Long Road to Mercy and Daylight, from one of the world’s most favourite thriller writers, David Baldacci. The hunt is finally over. FBI agent Atlee Pine is at the end of her long journey to discover what happened to her twin sister, Mercy, who was abducted when the girls were just six years old – an incident which destroyed her family and left Atlee physically and mentally scarred. She knew her sister and parents were out there somewhere. And she had to find them. Dead or alive. Atlee and her assistant, Carol Blum, discover the truth. But the truth hurts. And hurt makes you tough. So how tough do you have to be to forgive? As they uncover a shocking trail of lies, greed, fear and revenge, they must face one final challenge. A challenge more deadly and dangerous than they could ever have imagined . . .",Note non disponible,2021-11-25,Fiction
The Lincoln Highway,Amor Towles,"#1 NEW YORK TIMES BESTSELLER More than ONE MILLION copies sold A TODAY Show Read with Jenna Book Club Pick A New York Times Notable Book, and Chosen by Oprah Daily, Time, NPR, The Washington Post, Bill Gates and Barack Obama as a Best Book of the Year “Wise and wildly entertaining . . . permeated with light, wit, youth.” —The New York Times Book Review “A classic that we will read for years to come.” —Jenna Bush Hager, Read with Jenna book club “Fantastic. Set in 1954, Towles uses the story of two brothers to show that our personal journeys are never as linear or predictable as we might hope.” —Bill Gates “A real joyride . . . elegantly constructed and compulsively readable.” —NPR The bestselling author of A Gentleman in Moscow and Rules of Civility and master of absorbing, sophisticated fiction returns with a stylish and propulsive novel set in 1950s America In June, 1954, eighteen-year-old Emmett Watson is driven home to Nebraska by the warden of the juvenile work farm where he has just served fifteen months for involuntary manslaughter. His mother long gone, his father recently deceased, and the family farm foreclosed upon by the bank, Emmett's intention is to pick up his eight-year-old brother, Billy, and head to California where they can start their lives anew. But when the warden drives away, Emmett discovers that two friends from the work farm have hidden themselves in the trunk of the warden's car. Together, they have hatched an altogether different plan for Emmett's future, one that will take them all on a fateful journey in the opposite direction—to the City of New York. Spanning just ten days and told from multiple points of view, Towles's third novel will satisfy fans of his multi-layered literary styling while providing them an array of new and richly imagined settings, characters, and themes. “Once again, I was wowed by Towles’s writing—especially because The Lincoln Highway is so different from A Gentleman in Moscow in terms of setting, plot, and themes. Towles is not a one-trick pony. Like all the best storytellers, he has range. He takes inspiration from famous hero’s journeys, including The Iliad, The Odyssey, Hamlet, Huckleberry Finn, and Of Mice and Men. He seems to be saying that our personal journeys are never as linear or predictable as an interstate highway. But, he suggests, when something (or someone) tries to steer us off course, it is possible to take the wheel.” – Bill Gates",Note non disponible,2021-10-05,Fiction
