title,authors,description,published_date,categories,goodreads_rating
The Lyrics: 1956 to the Present,"Paul McCartney, Paul Muldoon","#1 NEW YORK TIMES BESTSELLER A Washington Post Notable Book Excerpted in The New Yorker A work of unparalleled candor and splendorous beauty, The Lyrics celebrates the creative life and the musical genius of Paul McCartney through his most meaningful songs. Finally in paperback and featuring seven new song commentaries, the #1 New York Times bestseller celebrates the creative life and unparalleled musical genius of Paul McCartney. Spanning sixty-four years—from his early days in Liverpool, through the historic decade of The Beatles, to Wings and his solo career—Paul McCartney’s The Lyrics revolutionized the way artists write about music. An unprecedented “triumph” (Times UK), this handsomely designed volume pairs the definitive texts of over 160 songs with first-person commentaries on McCartney’s life, revealing the diverse circumstances in which songs were written; how they ultimately came to be; and the remarkable, yet often delightfully ordinary, people and places that inspired them. The Lyrics also includes: · A personal foreword by McCartney · An unprecedented range of songs, from beloved standards like “Band on the Run” to new additions “Day Tripper” and “Magical Mystery Tour” · Over 160 images from McCartney’s own archives Edited and introduced by Pulitzer Prize-winning poet Paul Muldoon, The Lyrics is the definitive literary and visual record of one of the greatest songwriters of all time.",2023-11-07,Music,3.78
Snoop Presents Goon with the Spoon,"Snoop Dogg, Earl ""E-40"" Stevens","The follow-up to From Crook to Cook, this next-level cookbook is all about bringing together memorable meals for any occasion, with 65+ recipes from rappers Snoop Dogg and E-40. Following the breakout success of his first cookbook, From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (more than 1 million copies sold), Snoop Dogg returns with this new collection of recipes in collaboration with his friend and iconic Bay Area rapper E-40. Drawing inspiration from both rappers' musical catalogs, their favorite meals to cook and eat together, and E-40's Filipino food business, Lumpia, here are 65+ crowd-pleasing dishes that range from drinks to main courses to desserts. Seriously entertaining, this soulful cookbook is the follow-up fans are hungry for. GOOD EATS FROM SNOOP & E-40: The bestseller success of From Crook to Cook is all thanks to Snoop's irresistible persona, highly entertaining writing style, and accessible, tasty recipes. Now the door to Tha Boss Dogg's kitchen is open again, with added spice from collaboration with Earl ""E-40"" Stevens (the ""Goon with the Spoon""), upping the ante with more crowd-pleasing recipes and more photography of Snoop at home and in the kitchen. CELEBRITY COOKBOOKS: If you're a fan of celebrity books and cookbooks such as Trejo's Tacos, Half Baked Harvest, Magnolia Table, The Bob's Burgers Burger Book, and Thug Kitchen, Snoop Dogg's cookbooks have got you covered—complete with epic stories and behind-the-scenes photos that bring his masterpieces to life. Perfect for: Fans of Snoop Dogg, Martha & Snoop's Potluck Dinner Party, and Snoop's brands including Merry Jane, 19 Crimes, and more! Fans of E-40 and his food and spirits brands Home cooks looking for easy, crowd-pleasing recipes Birthday, graduation, holiday, host or hostess gift giving",2023-11-14,Cooking,4.06
The Creative Act,Rick Rubin,"From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us.",2023-01-17,Philosophy,3.00
Baking Yesteryear,B. Dylan Hollis,"#1 NEW YORK TIMES BESTSELLER A decade-by-decade cookbook that highlights the best (and a few of the worst) baking recipes from the 20th century Gentles and ladymen, are you sick and tired of making the same baking recipes again and again? Then look no further than this baking blast from the past, as B. Dylan Hollis highlights the most unique tasty treats of yesteryear. Travel back in time on a delicious decade-by-decade jaunt as Dylan shows you how to bake vintage forgotten greats. With a big pinch of fun and a full cup of humor, you'll be baking everything from chocolate potato cake from the 1910s to avocado bread from the 1970s. Having baked thousands of retro recipes from all kinds of antique cookbooks, Dylan's selected the best of the best for this bakebook, sharing the shining stars from each decade. And since not every recipe Dylan bakes on his wildly popular social media channels turn out delicious, we've thrown in a few of the most disastrously strange recipes for you to try if you want to prank your friends, or if you're simply a glutton for punishment. A few of Dylan's favorites that are going to have you licking your lips and begging for more include: - 1909 cornflake macaroons - 1918 anzac biscuits - Great Depression peanut butter bread - 1940s chocolate sauerkraut cake - 1970s potato chip cookies Baking Yesteryear contains 100 recipes expertly curated by B. Dylan Hollis that will take you on a delicious journey through the past. With a larger-than-life personality and comedic puns galore, baking with Dylan never gets old. We'll leave that to the recipes.",2023-07-25,Cooking,4.47
The Pioneer Woman Cooks—Dinner's Ready!,Ree Drummond,"NEW YORK TIMES BESTSELLER The #1 New York Times bestselling author and Food Network favorite The Pioneer Woman Ree Drummond returns with an exciting new cookbook filled with no-fuss family recipes for dinners, desserts, and more. Cook smarter, not harder! After seventeen years of sharing recipes in my cookbooks, on my website, and on my cooking show, I still absolutely love cooking! That said, while I enjoy making a slow-cooked meat sauce or long-braised pork roast, life is just too busy these days to devote that much time to getting dinner on the table day after day. Heck, even if I have the time to whip up a complicated recipe, for some reason I just don’t seem to have the patience. If you find yourself in the same dinner boat, here’s a collection of flavorful and fast recipes to breathe speedy new scrumptiousness into your cooking. In The Pioneer Woman Cooks—Dinner’s Ready! you’ll find lots of new dishes to fit your schedule, whether you’re in a hurry to get supper made or simply want to get out of the kitchen quicker to spend time doing other things you enjoy (even if that’s curling up in front of the TV for the night)! Every occasion is covered, from hosting company, with my mom’s Seafood Casserole from the ’70s and Pork Marsala with Mushrooms, to pizza night, with my classic Cast-Iron Hamburger Pizza and gorgeous Rainbow Pizza, to teenager-friendly fun food like Pretzel Dogs and Pickle Chicken Bites. You’ll also enjoy tasty new pasta dishes, chicken dinners, and fuss-free sides like Crispy Parmesan Potatoes and Pimento Cheese Grits, as well as delicious desserts like Blackberry Lime Whip and Chuckwagon Brownies. As a delicious bonus, there’s a whole chapter of easy-to-make Fridge Grabs—from Refrigerator Pickles to Garlic Confit—that are great to have on hand for adding even more flavor and zip to the recipes! These low-stress, fuss-free, big-on-flavor recipes are sure to be new family faves. You’ll be able to holler “Dinner’s ready!” faster than ever.",2023-10-24,Cooking,4.18
How to Know a Person,David Brooks,"NEW YORK TIMES BESTSELLER • A practical, heartfelt guide to the art of truly knowing another person in order to foster deeper connections at home, at work, and throughout our lives—from the author of The Road to Character and The Second Mountain As David Brooks observes, “There is one skill that lies at the heart of any healthy person, family, school, community organization, or society: the ability to see someone else deeply and make them feel seen—to accurately know another person, to let them feel valued, heard, and understood.” And yet we humans don’t do this well. All around us are people who feel invisible, unseen, misunderstood. In How to Know a Person, Brooks sets out to help us do better, posing questions that are essential for all of us: If you want to know a person, what kind of attention should you cast on them? What kind of conversations should you have? What parts of a person’s story should you pay attention to? Driven by his trademark sense of curiosity and his determination to grow as a person, Brooks draws from the fields of psychology and neuroscience and from the worlds of theater, philosophy, history, and education to present a welcoming, hopeful, integrated approach to human connection. How to Know a Person helps readers become more understanding and considerate toward others, and to find the joy that comes from being seen. Along the way it offers a possible remedy for a society that is riven by fragmentation, hostility, and misperception. The act of seeing another person, Brooks argues, is profoundly creative: How can we look somebody in the eye and see something large in them, and in turn, see something larger in ourselves? How to Know a Person is for anyone searching for connection, and yearning to be understood.",2023-10-24,Social Science,3.75
Hidden Potential,Adam Grant,"#1 New York Times Bestseller “This brilliant book will shatter your assumptions about what it takes to improve and succeed. I wish I could go back in time and gift it to my younger self. It would’ve helped me find a more joyful path to progress.” —Serena Williams, 23-time Grand Slam singles tennis champion The #1 New York Times bestselling author of Think Again illuminates how we can elevate ourselves and others to unexpected heights. We live in a world that’s obsessed with talent. We celebrate gifted students in school, natural athletes in sports, and child prodigies in music. But admiring people who start out with innate advantages leads us to overlook the distance we ourselves can travel. We underestimate the range of skills that we can learn and how good we can become. We can all improve at improving. And when opportunity doesn’t knock, there are ways to build a door. Hidden Potential offers a new framework for raising aspirations and exceeding expectations. Adam Grant weaves together groundbreaking evidence, surprising insights, and vivid storytelling that takes us from the classroom to the boardroom, the playground to the Olympics, and underground to outer space. He shows that progress depends less on how hard you work than how well you learn. Growth is not about the genius you possess—it’s about the character you develop. Grant explores how to build the character skills and motivational structures to realize our own potential, and how to design systems that create opportunities for those who have been underrated and overlooked. Many writers have chronicled the habits of superstars who accomplish great things. This book reveals how anyone can rise to achieve greater things. The true measure of your potential is not the height of the peak you’ve reached, but how far you’ve climbed to get there.",2023-10-24,Business & Economics,3.77
Build the Life You Want,"Oprah Winfrey, Arthur C Brooks","You can get happier. And getting there will be the adventure of a lifetime. In Build the Life You Want, Harvard Professor Arthur C. Brooks and Oprah Winfrey invite you to begin a journey toward greater happiness, no matter how challenging your circumstances. Combining their decades of experience studying happiness from every angle, they show you how to improve your life right now - instead of waiting for the outside world to change. You will learn how to: - Manage your emotions so they no longer control your outlook and behaviour - Turn life's inevitable difficulties and challenges into opportunities for growth - Strengthen your family ties by managing your expectations and building trust - Create and preserve deep and lasting friendships at any age - Develop an approach to work that fits your life and brings satisfaction - Find your inner peace with a spiritual practice Build the Life You Want introduces you to the cutting-edge science that can change your life, in understandable terms and with actionable strategies. Along the way, Arthur and Oprah share hard-earned wisdom from their own lives and careers. In every page, your happiness skills will grow, and you will learn amazing information you can't wait to share with others. Build the Life You Want is your blueprint for a better life.",2023-09-12,Self-Help,3.67
Wings of Fire: A Guide to the Dragon World,Tui T. Sutherland,"Dive into the world of Wings of Fire like never before! In this guide, all-new art and maps will be joined by exclusive stories and folklore from Tui Sutherland. Each chapter of the Guide will take an in-depth look at the tribes of Pyrrhia and Pantala, bringing to life the history, mythology, and folklore of this beloved world in a truly spectacular and gift-worthy way.",2023-03-07,Juvenile Fiction,4.53
The Harry Potter Wizarding Almanac,J.k. Rowling,"The only official companion to the Harry Potter stories - the ultimate compendium of wizarding lists, charts, maps and all things magical! Whisk yourself away to Harry Potter's wizarding world with this Whiz-bang of an illustrated companion. Discover magical places, study wandlore, encounter fantastic beasts and find out about the witches and wizards who lived. From the Sorting Hat to spell-casting, it's all packed inside! This dazzling gift book brings together beloved characters, unforgettable moments and iconic locations from Harry Potter and the Philosopher's Stone all the way through to The Deathly Hallows. It's the ultimate magical miscellany, filled with facts and fun about the wizarding world, beautifully catalogued and brilliantly explored. Joyfully illustrated throughout in full colour by seven stunning artists and tingling with things to spot on every page, this is the ideal introduction to the Harry Potter stories for new readers and the perfect book for families to share. The Harry Potter Wizarding Almanac also features an astonishing level of detail that is sure to surprise and fascinate lifelong fans. From incredible cross-sections to magical maps and ingenious lists, lose yourself exploring Hogwarts and beyond ...",2023-10-10,Juvenile Fiction,4.30
The Sun and the Star (From the World of Percy Jackson),"Rick Riordan, Mark Oshiro","From New York Times #1 best-selling author Rick Riordan and award-winning author Mark Oshiro comes a new standalone adventure featuring two of the most popular characters from the world of Percy Jackson and the Olympians. ONE PROPHECY. TWO DEMIGODS. A HEROIC QUEST. Nico di Angelo is pretty familiar with the realms of death, being the son of Hades and all. So when a desperate voice starts plaguing his dreams, Nico is convinced it's coming from the Underworld and belongs to an old friend - a reformed Titan called Bob. Then an ominous prophecy leaves Nico in no doubt - Bob needs his help and Nico must rescue him. Of course Nico's boyfriend, Will Solace, the son of Apollo (the god of light) insists on joining the quest too. But can will even survive in the darkest part of the world? And what does the prophecy mean when it says that Nico will have to leave something of equal value behind? As Nico faces demons both internal and external, his relationship with Will is tested to its very core. Can love find its way, even through the depths of hell? COMING SEPTEMBER 2023 - Percy Jackson and the Olympians: The Chalice of the Gods. Join the original heroes from The Lightning Thief in a brand-new adventure!",2023-05-02,Young Adult Fiction,4.23
Dogtown,"Katherine Applegate, Gennifer Choldenko","From beloved authors Katherine Applegate and Gennifer Choldenko, Dogtown is an uplifting story and a page-turning adventure. Dogtown is a shelter for stray dogs, misbehaving dogs, and discarded robot dogs, whose owners have outgrown them. Chance, a real dog, has been in Dogtown since his owners unwittingly left him with irresponsible dog-sitters who skipped town. Metal Head is a robot dog who dreams of being back in a real home. And Mouse is a mouse who has the run of Dogtown, pilfering kibble, and performing clever feats to protect the dogs he loves. When Chance and Metal Head embark on an adventure to find their forever homes, there is danger, cheese sandwiches, a charging station, and some unexpected kindnesses along the way.",2023-09-19,Juvenile Fiction,4.22
Juniper’s Christmas,Eoin Colfer,"A brand-new Christmas classic adventure about the science behind the magic of Christmas, set in North London and the North Pole – from the bestselling author of Artemis Fowl",2023-10-26,Juvenile Fiction,3.99
A Horse Named Sky,Rosanne Parry,"An instant New York Times bestseller! A stand-alone companion to the national bestsellers A Wolf Called Wander and A Whale of the Wild. Exiled from his band, a young, wild horse must find his way across treacherous terrain to reunite with his family after being captured for the Pony Express. Horn Book calls A Horse Named Sky “engrossing and fast-paced.” This Voice on the Wilderness novel is an enthralling survival story about wild horses, family bonds, and a changing environment. Young colt Sky was born with the urge to run. Alongside his band, he moves across the range searching for fresh water and abundant grazing. But humans have begun to encroach on Sky’s homelands. With fewer resources to share, Sky knows that he must leave if his family is to survive. He hopes that one day he’ll be strong and brave enough to return and challenge the stallion to lead the herd. Being a lone wild horse in a vast landscape is not easy, and things get even more dangerous when Sky is captured and forced to run for the Pony Express. Now, against all odds, Sky must find a way to escape and reunite with his family. A Horse Named Sky is a stand-alone companion novel to Rosanne Parry’s New York Times bestsellers A Wolf Called Wander and A Whale of the Wild. Chronicling the perils of westward expansion and the grueling Pony Express from the perspective of a wild horse, A Horse Named Sky is a gripping animal survival story about family, courage, trust, leadership, and loyalty. Impeccably researched and illustrated in black-and-white throughout, A Horse Named Sky is an excellent read-aloud for parents and teachers and a wonderful choice for fans of DreamWorks’ Spirit and Anna Sewell’s Black Beauty. Includes black-and-white illustrations throughout, a map, and extensive back matter about wild horses and their habitats.",2023-08-29,Juvenile Fiction,4.19
Don't Let the Pigeon Drive the Sleigh!,Mo Willems,"From #1 New York Times bestselling, award-winning author and illustrator Mo Willems comes a new holiday classic. It's the most wonderful time of the year--for driving a sleigh! 'Tis also the season--for driving a sleigh! Oh, and joy to the--driving a sleigh! The Pigeon has made a list and checked it once. Can his holiday dream come true? Or will The Pigeon be left out in the cold? You'll share some HO-HO-HOs and HA-HA-HAs finding out in three-time Caldecott Honoree Mo Willems' ninth Pigeon book, Don't Let the Pigeon Drive the Sleigh!",2023-09-05,Catégorie non disponible,4.25
How to Catch Santa Claus,Alice Walstead,"It's time to deck the halls and set your traps in this new Christmas adventure from the New York Times and USA Today bestselling How to Catch series! Do you have what it takes to catch jolly old St. Nicholas himself? Santa Claus is getting ready to deliver presents to children around the world, but the wily How to Catch Kids have set traps galore! With the help of his trusty Reindeer and Elf, Santa will have to use all his festive magic to avoid being caught. Poised to become a new holiday tradition, this merry picture book is filled with silly rhymes and illustrations sure to delight young readers and educators alike with STEAM concepts and classic hilarity and chaos. The perfect Christmas gift or holiday stocking stuffer for children ages 4-10! It's Christmas Eve! I am almost there! I know you've hatched a plan. So when you hear my HO-HO-HO, try to catch me if YOU can! Also in the How to Catch Series: How to Catch an Elf How to Catch a Reindeer How to Catch a Snowman How to Catch a Gingerbread Man How to Catch a Unicorn and more!",2023-09-05,Juvenile Fiction,3.94
The Big Cheese,Jory John,"Don’t miss the seventh picture book in the #1 New York Times bestselling Food Group series from Jory John and Pete Oswald! The Big Cheese is the best at everything, and brags about it, too. When the annual Cheese-cathlon comes around, the Big Cheese is prepared to win, as always. But what happens when the quiet new kid, Wedge Wedgeman, comes out on top? Is a slice of humility all the Big Cheese needs to discover that some things are better than being the best? Jory John and Pete Oswald serve up another heaping plate of laughs and lessons with this empowering, witty, and charming addition to their #1 New York Times bestselling series! Check Out Jory John and Pete Oswald’s other funny bestselling books for kids ages four to eight and anyone who wants a laugh: The Bad Seed The Good Egg The Cool Bean The Couch Potato The Smart Cookie The Sour Grape The Good Egg Presents: The Great Eggscape! The Bad Seed Presents: The Good, the Bad, and the Spooky! The Cool Bean Presents: As Cool as It Gets! The Bad Seed Goes to the Library The Good Egg and the Talent Show That’s What Dinosaurs Do",2023-11-07,Juvenile Fiction,3.83
Just Because,Matthew McConaughey,"The debut picture book by Academy Award-winning actor and #1 New York Times bestselling author Matthew McConaughey Just because I’m in the race, doesn’t mean I’m fully ready. Just because I’m shaking, doesn’t mean that I’m not steady. Have you ever felt worried and excited at the same time? Have you ever had your feelings hurt but forgiven someone anyway? Have you ever thought there was more than one right answer to a question? That’s because contradictions are all around us. And they make us who we are. Filled with his trademark humor and wisdom, Academy Award–winning actor and #1 New York Times bestselling author Matthew McConaughey has crafted a soulful and irreverent collection of life lessons that empowers readers, big and small, to celebrate how we are all full of possibility. Why? Just because.",2023-09-12,Juvenile Fiction,4.10
The Wild Robot Protects (The Wild Robot 3),Peter Brown,"The enchanting new addition to the #1 New York Times bestselling THE WILD ROBOT series from award-winning author-illustrator Peter Brown, packed full of glorious illustrations. Roz the robot has made an unlikely home for herself on an idyllic island dense with forests, wildflowers and friendly animal inhabitants - including her own young son Brightbill the gosling. Life on the island is perfect, until a dying seal washes ashore and warns of dangerous, cloudy waters that are flowing towards the island, bringing new dangers for the animals. Forced inland they will have to fight over fewer resources - and Roz realises that she must march into the waves and undertake an incredible undersea adventure to find a way to protect her beloved island and all who live on it ... From bestselling author and illustrator Peter Brown comes a heartwarming and action-packed third book in his New York Times bestselling The Wild Robot series, exploring what happens when nature and technology collide. Praise for The Wild Robot 'An Iron Man style fable for our age' - Piers Torday, award-winning author of The Last Wild 'A modern-day classic in the making' - Booktrust [Peter Brown's THE WILD ROBOT was a #1 New York Times bestseller w/c 11th June 2023.]",2023-09-26,Juvenile Fiction,4.20
"Eragon, Tome 05","Christopher Paolini, Marie-Hélène DELVAL, Éric Moreau, John Jude Palencar","Un traître... Un dragon... Une nouvelle épopée... En Alagaësia, des mois se sont écoulés depuis la chute du tyran Galbatorix. Murtagh le Dragonnier et son dragon Thorn sont toujours considérés comme des traîtres et des meurtriers, car le royaume ignore l'aide qu'ils ont apportée à Eragon et Nasuada. Ils vivent en parias, à l'abri des regards. Mais la rumeur d'étranges évènements, aux confins de l'Alagaësia, ravivent de douloureux souvenirs pour Murtagh et Thorn. Et nul ne peut se soustraire à son destin. Commence alors pour nos héros un voyage épique à travers des terres à la fois familières et inexplorées. Confrontés à des ennemis aussi terrifiants qu'imprévisibles, ils auront besoin de courage et d'espérance. Car une mystérieuse puissance oeuvre dans l'ombre... 20 ans après la parution d'Eragon, Christopher Paolini rouvre les portes de l'Alagaësia dans un récit magistral sur Murtagh, l'intriguant demi-frère d'Eragon. Ce roman peut se lire indépendamment de la saga L'héritage (mais rien ne vous empêche de lire les quatre tomes !)",2023-11-08,Juvenile Fiction,3.78
Divine Rivals,Rebecca Ross,"When two young rival journalists find love through a magical connection, they must face the depths of hell, in a war among gods, to seal their fate forever. After centuries of sleep, the gods are warring again. But eighteen-year-old Iris Winnow just wants to hold her family together. Her mother is suffering from addiction and her brother is missing from the front lines. Her best bet is to win the columnist promotion at the Oath Gazette. To combat her worries, Iris writes letters to her brother and slips them beneath her wardrobe door, where they vanish—into the hands of Roman Kitt, her cold and handsome rival at the paper. When he anonymously writes Iris back, the two of them forge a connection that will follow Iris all the way to the front lines of battle: for her brother, the fate of mankind, and love. Shadow and Bone meets Lore in Rebecca Ross's Divine Rivals, an epic enemies-to-lovers fantasy novel filled with hope and heartbreak, and the unparalleled power of love.",2023-04-04,Young Adult Fiction,3.82
The Official Five Nights at Freddy's Cookbook: An AFK Book,"Scott Cawthon, Rob Morris","The one and only OFFICIAL, New York Times bestselling Five Nights at Freddy's Cookbook, with over 40 recipes inspired by the hit games! Delight in over forty tasty recipes inspired by the Five Nights at Freddy's games, with gorgeous, eye-popping photography! From Freddy Fazbear's Pepperoni X-Press and Chica's Ultimate Thai Chicken Burger, to Foxy's Fruity Cove Coolor and El Chip's Fully Loaded Tortillas, the official Five Nights at Freddy's Cookbook is packed with mouthwatering recipes that are hauntingly delicious.",2023-10-24,Young Adult Nonfiction,4.21
Powerless,Lauren Roberts,"In a kingdom divided by extraordinary powers and a strict caste system, Paedyn Gray, a young girl with no abilities, must hide her ordinary nature as she navigates a forbidden romance with a powerful prince and must participate in the perilous Purging Trials that could reveal her true identity.",2023-11-07,Young Adult Fiction,5.00
Nightbane (The Lightlark Saga Book 2),Alex Aster,"The seductive and action-packed follow-up to Alex Aster’s instant #1 New York Times, #1 Wall Street Journal, and internationally bestselling novel, Lightlark Isla Crown has secured the love of two powerful rulers and broken the curses that plagued the six realms for centuries, but few know the true origins of her powers. Now, in the wake of a crushing betrayal, Isla finds herself hungry for distraction, preferring to frequent Lightlark’s seductive haunts instead of embracing her duties as the newly crowned leader of two separate realms. Worse, her fellow rulers haven’t ceded victory quietly, and there are others in Isla’s midst who don’t believe her ascent to power was earned. As certain death races toward Lightlark and secrets from the past begin to unravel, Isla must weigh her responsibility to her people against the whims of the most dangerous traitor of all: her heart. Alex Aster’s intricate world expands after the riveting culmination of the Centennial games, delving more deeply into Isla’s memories of her past, as her future hurtles toward two possible fates.",2023-11-07,Young Adult Fiction,4.14
The Way I Am Now,Amber Smith,"Eden and Josh decide to give their relationship another chance in this much anticipated sequel to the New York Times bestseller The Way I Used to Be that “highlights with painful honesty the process of moving forward following trauma” (Kirkus Reviews). Eden and Josh never had a fair shot at a healthy relationship. When they dated in high school, they each had their own problems getting in the way of the deep connection they felt toward one another. Unbeknownst to Josh, Eden was carrying the burden of a devastating sexual assault, while Josh was dealing with his own private struggle of having an alcoholic father. Months after Eden and two other girls publicly accuse their rapist, Eden is starting college while her case goes to trial. Now when she and Josh reconnect, it seems like it might finally be in the right place at the right time for them to make it work. But is their love strong enough to withstand the challenges and chaos of college and the crushing realities of a trial that will determine whether Eden gets the justice she deserves?",2023-11-07,Young Adult Fiction,4.11
What the River Knows,Isabel Ibañez,"The Mummy meets Death on the Nile in What the River Knows, Isabel Ibañez's lush, immersive historical fantasy set in Egypt and filled with adventure, a rivals-to-lovers romance, and a dangerous race. Bolivian-Argentinian Inez Olivera belongs to the glittering upper society of nineteenth century Buenos Aires, and like the rest of the world, the town is steeped in old world magic that’s been largely left behind or forgotten. Inez has everything a girl might want, except for the one thing she yearns the most: her globetrotting parents—who frequently leave her behind. When she receives word of their tragic deaths, Inez inherits their massive fortune and a mysterious guardian, an archeologist in partnership with his Egyptian brother-in-law. Yearning for answers, Inez sails to Cairo, bringing her sketch pads and a golden ring her father sent to her for safekeeping before he died. But upon her arrival, the old world magic tethered to the ring pulls her down a path where she soon discovers there’s more to her parent’s disappearance than what her guardian led her to believe. With her guardian’s infuriatingly handsome assistant thwarting her at every turn, Inez must rely on ancient magic to uncover the truth about her parent’s disappearance—or risk becoming a pawn in a larger game that will kill her. What the River Knows is the first book in the thrilling Secrets of the Nile duology. ""Expertly plotted, explosively adventurous, and burning with romance."" - Stephanie Garber #1 New York Times bestselling author ""Take a plucky heroine, a historically grounded Indiana Jones-esque adventure through Ancient Egypt, and add a surprising dollop of magic — it’s a recipe for a delightful read."" - Jodi Picoult, #1 New York Times bestselling author *Book 1 in the Secrets of the Nile duology*",2023-10-31,Young Adult Fiction,3.75
Iron Flame,Rebecca Yarros,"The instant number one Sunday Times bestseller and thrilling sequel to the global phenomenon, Fourth Wing! Don't miss out on the series that the world can't stop talking about: 'An absolute romantasy sensation . . . Yarros is the true inheritor of Harry Potter and inspires Hunger Games levels of devotion' - Guardian 'Fear not, levels of fighting, rebelliousness and all-round sexiness are still sky-high' - Daily Mail 'Iron Flame is on course to set the world alight' - Glamour 'Yarros had me hooked from the first chapter' - Mail on Sunday __________________________________________ She survived her first year at Basgiath War College . . . but the danger is only beginning. Everyone expected Violet Sorrengail to die during her first year at Basgiath War College, Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet's already wondering how she'll get through. It's not just that it's grueling and maliciously brutal, or even that it's designed to stretch the riders' capacity for pain beyond endurance. It's the new vice commandant, who's made it his personal mission to teach Violet exactly how powerless she is - unless she betrays the man she loves. Although Violet's body might be weaker and frailer than everyone else's, she still has her wits, and a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules. But a determination to survive won't be enough this year. Because Violet knows the real secret hidden for centuries at Basgiath War College - and nothing, not even dragon fire, may be enough to save them in the end. __________________________________________ Reviews for Fourth Wing 'Pure escapism - think Hunger Games meets Fifty Shades' THE SUN 'We weren't expecting to become obsessed with Rebecca Yarros's Fourth Wing, but we very much are - and we're not alone . . .' SUNDAY TIMES STYLE 'I couldn't put it down!' MILLIE BOBBY BROWN 'This book contains an addictive, drug like essence that will make you relinquish all responsibility until the very last word. Do not say I didn't warn you' GLAMOUR 'Throw in an enemies-to-lovers plotline, some life-threatening trials and the threat of war in the outside world, and you've got yourself a deliciously gripping dish, which I downed in one sitting' STYLIST '2024 is the Year of the Dragon, according to the Chinese calendar. Dive into a fantasy narrative featuring these mythical, winged creatures.' POP SUGAR OTHER BOOKS IN THE EMPYREAN SERIES - FOURTH WING - IRON FLAME *Rebecca Yarros's Iron Flame was a Sunday Times Number One bestseller in hardback in the second week of November 2023",2023-11-07,Fiction,3.71
Resurrection Walk,Michael Connelly,"THE WORLDWIDE #1 BESTSELLER BEHIND NETFLIX'S THE LINCOLN LAWYER THE PATH TO JUSTICE CAN BE PAVED WITH LIES Defense attorney Mickey Haller - The Lincoln Lawyer - is inundated with pleas from prisoners protesting their innocence. With the help of ex-LAPD detective Harry Bosch, they find a needle in the haystack: a possible wrongful conviction. A woman imprisoned for murdering her husband, a sheriff's deputy. But the evidence doesn't add up, the department pushed for quick closure in the killing of one of its own. But is this rushed justice - or something more sinister? As they face a David versus Goliath court battle, the secrets which could set an innocent woman free could also be worth killing for... **** PRAISE FOR RESURRECTION WALK: 'Connelly at his glittering best: full of twists and insights, it grips like a hungry python' DAILY MAIL 'The perfect combination of courtroom drama and police procedural - Connelly's latest masterpiece shows why he's the crime writer all his rivals look up to' SUNDAY EXPRESS **** CRIME DOESN'T COME BETTER THAN CONNELLY: 'The pre-eminent detective novelist of his generation' IAN RANKIN 'The best mystery writer in the world' GQ 'A superb natural storyteller' LEE CHILD 'A master' STEPHEN KING 'America's greatest living crime writer' DAILY EXPRESS 'One of the great storytellers of crime fiction' SUNDAY TELEGRAPH",2023-11-07,Fiction,4.56
Tom Lake,Ann Patchett,"The breathtaking new novel from Ann Patchett – a Sunday Times and No. 1 New York Times bestseller * WATERSTONES FICTION BOOK OF THE MONTH JUNE 2024 * * SHORTLISTED FOR WATERSTONES BOOKS OF THE YEAR 2023 * * A REESE WITHERSPOON AND BBC RADIO 2 BOOK CLUB PICK * * A 2023 BOOK OF THE YEAR FOR THE TIMES * 'Filled with the moments I live for in a story' BONNIE GARMUS, author of Lessons in Chemistry '[Tom Lake] has it all ... Young love, sibling rivalry and deep mother-daughter relationships' REESE WITHERSPOON 'One of the most beloved authors of her generation' SUNDAY TIMES There's more to every love story than what we choose to tell... It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before. Tom Lake is a meditation on youthful love, married love, and the lives parents lead before their children are born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart. 'One of our greatest living chroniclers of love and marriage ... Expect wonder; Patchett always delivers' ELLE Tom Lake was ranked #6 in UK TCM paperback charts week ending 9/6/2024",2023-08-01,Fiction,3.71
Summary of Lessons in Chemistry by Bonnie Garmus,Bonnie Garmus,"Elizabeth Zott is a chemist, not the typical female. The first to point out that there is no such thing is Elizabeth Zott, in fact. But since her Hastings Research Institute staff is entirely male and it's the early 1960s, their perspective on equality is somewhat unscientific. With one exception: Calvin Evans, the misanthropic, bright, and Nobel Prize nominee who, ironically, falls in love with her mind. The outcomes of true chemistry. Life is irrational, just like science. In light of this, Elizabeth Zott discovers herself to be a single mother a few years later and the reluctant star of Supper at Six, the nation's most adored cookery program.",2023,Sex role,4.00
